timestamp,time_of_day,day_of_week,app_sequence,social_screen_time_mins,daily_spend_ratio,erratic_usage_score,is_impulse_buy
2026-01-05 12:27:41,Afternoon,Monday,WhatsApp->WhatsApp,58,1.086,2.956,0
2026-01-05 12:34:05,Afternoon,Monday,Chrome->Spotify,59,0.888,4.967,0
2026-01-05 13:38:48,Afternoon,Monday,Telegram->Instagram,32,0.877,1.627,0
2026-01-05 14:00:16,Afternoon,Monday,Telegram->Zomato,48,0.721,8.065,0
2026-01-05 14:02:07,Afternoon,Monday,WhatsApp->Zomato,37,0.932,8.75,0
2026-01-05 14:39:23,Afternoon,Monday,WhatsApp->WhatsApp,44,1.645,2.807,0
2026-01-05 14:40:54,Afternoon,Monday,Spotify->YouTube,22,1.189,5.16,0
2026-01-05 14:55:41,Afternoon,Monday,Chrome->Instagram,50,1.559,2.973,0
2026-01-05 14:55:48,Afternoon,Monday,YouTube->Instagram,14,1.318,5.567,0
2026-01-05 16:19:41,Afternoon,Monday,Chrome->Spotify,11,0.858,5.894,0
2026-01-05 17:51:57,Evening,Monday,Instagram->Instagram,48,0.579,2.809,0
2026-01-05 17:59:21,Evening,Monday,WhatsApp->Spotify,47,0.762,3.37,0
2026-01-05 18:08:32,Evening,Monday,Instagram->Instagram,54,0.839,6.748,0
2026-01-05 18:08:41,Evening,Monday,YouTube->Spotify,40,0.815,9.364,1
2026-01-05 18:21:07,Evening,Monday,WhatsApp->YouTube,80,1.573,4.26,0
2026-01-05 19:59:51,Evening,Monday,Chrome->Zomato,53,1.566,3.132,0
2026-01-05 20:38:29,Evening,Monday,Spotify->Instagram,54,2.511,8.34,0
2026-01-05 20:48:00,Evening,Monday,Telegram->Zomato,53,0.81,6.492,1
2026-01-05 21:03:40,Evening,Monday,Telegram->Amazon,66,1.988,4.503,0
2026-01-05 21:19:03,Evening,Monday,Instagram->Spotify,59,1.983,1.567,1
2026-01-05 21:31:12,Evening,Monday,Spotify->Spotify,57,0.992,4.115,0
2026-01-05 21:34:12,Evening,Monday,Spotify->Instagram,62,1.297,5.261,0
2026-01-05 21:34:57,Evening,Monday,Chrome->Myntra,21,1.736,7.013,0
2026-01-05 21:49:58,Evening,Monday,Telegram->Amazon,21,1.059,3.924,0
2026-01-05 21:54:17,Evening,Monday,Spotify->YouTube,49,1.029,5.527,0
2026-01-05 22:48:15,Late Night,Monday,Instagram->Myntra,59,0.939,6.52,1
2026-01-05 22:53:14,Late Night,Monday,WhatsApp->Myntra,71,0.5,2.453,1
2026-01-05 23:04:10,Late Night,Monday,WhatsApp->Zomato,62,1.224,7.814,1
2026-01-05 23:09:46,Late Night,Monday,YouTube->Zomato,71,0.91,4.209,1
2026-01-05 23:09:48,Late Night,Monday,WhatsApp->Zomato,42,0.792,3.567,1
2026-01-06 00:00:20,Late Night,Tuesday,Spotify->Spotify,62,1.399,5.457,0
2026-01-06 01:09:44,Late Night,Tuesday,YouTube->Zomato,41,0.686,5.808,0
2026-01-06 01:17:40,Late Night,Tuesday,Instagram->Zomato,68,1.619,6.755,1
2026-01-06 01:24:17,Late Night,Tuesday,Spotify->Myntra,32,1.432,5.916,0
2026-01-06 02:37:30,Late Night,Tuesday,Spotify->Instagram,68,1.024,5.542,0
2026-01-06 03:08:25,Late Night,Tuesday,Chrome->Zomato,38,1.163,8.477,1
2026-01-06 03:14:37,Late Night,Tuesday,Telegram->Instagram,56,0.758,8.344,0
2026-01-06 03:33:22,Late Night,Tuesday,Telegram->Zomato,76,1.585,4.081,1
2026-01-06 03:43:23,Late Night,Tuesday,WhatsApp->Myntra,66,1.28,3.038,0
2026-01-06 04:18:17,Late Night,Tuesday,Telegram->Myntra,36,1.316,7.636,0
2026-01-06 04:32:08,Late Night,Tuesday,WhatsApp->Instagram,51,1.442,3.589,0
2026-01-06 04:33:46,Late Night,Tuesday,WhatsApp->Myntra,38,0.934,3.116,0
2026-01-06 04:53:26,Late Night,Tuesday,Chrome->Myntra,35,0.669,5.433,1
2026-01-06 05:26:43,Morning,Tuesday,Instagram->Instagram,32,1.559,7.84,0
2026-01-06 05:48:07,Morning,Tuesday,YouTube->Instagram,39,1.407,4.804,1
2026-01-06 05:52:39,Morning,Tuesday,YouTube->Myntra,37,0.884,4.103,0
2026-01-06 05:57:15,Morning,Tuesday,Spotify->Instagram,40,1.265,8.312,0
